Model_Mode,Epsilon,Train_Acc,Test_Acc,Attack_Advantage_Gap,Risk_Level,Train_F1,Test_F1,Train_Precision,Test_Precision
Baseline,,0.8721590909090909,0.8541378780899739,0.01802121281911706,Low,0.8652385702765608,0.8460238650814424,0.8679039666689812,0.8474593680859777
DP_Eps_5.0,5.0,0.7591753685503686,0.7592507293106096,0.0,Low,0.6552470555434405,0.6553490760064522,0.576347240213588,0.5764616699586925
DP_Eps_1.0,1.0,0.7648571867321867,0.7650852141870106,0.0,Low,0.6689405256925954,0.6689226142936575,0.8101674770947013,0.8205940361628984
DP_Eps_0.1,0.1,0.7564880221130221,0.7561799477967143,0.0003080743163078603,Low,0.6546374719285248,0.6544078258434869,0.6027641049882507,0.5960820632642039
